tag,count,Price,Percent_change_1h,Market_cap_usd,Time
#litecoin,1,119.69300079345703,-0.25999999046325684,6802685440.0,00:44
#bitcoin,41,7514.93994140625,-0.47999998927116394,128319291392.0,00:45
#tron,14,0.05954119935631752,-0.07999999821186066,3914721536.0,00:45
#ethereum,7,594.5180053710938,-0.6600000262260437,59375349760.0,00:45
#ripple,5,0.6685550212860107,-1.2799999713897705,26235117568.0,00:45
#cardano,3,0.21493099629878998,-0.699999988079071,5572531200.0,00:45
#eos,1,13.688300132751465,-0.5899999737739563,12266763264.0,00:45
#litecoin,1,119.58000183105469,-0.3499999940395355,6796263424.0,00:45
#iota,1,1.7281299829483032,-0.9599999785423279,4803389440.0,00:45
#bitcoin,53,7514.93994140625,-0.47999998927116394,128319291392.0,00:46
#tron,15,0.05954119935631752,-0.07999999821186066,3914721536.0,00:46
#ripple,6,0.6685550212860107,-1.2799999713897705,26235117568.0,00:46
#litecoin,3,119.58000183105469,-0.3499999940395355,6796263424.0,00:46
#ethereum,3,594.5180053710938,-0.6600000262260437,59375349760.0,00:46
#eos,1,13.688300132751465,-0.5899999737739563,12266763264.0,00:46
#bitcoin,43,7514.93994140625,-0.47999998927116394,128319291392.0,00:47
#tron,10,0.05954119935631752,-0.07999999821186066,3914721536.0,00:47
#ethereum,5,594.5180053710938,-0.6600000262260437,59375349760.0,00:47
#ripple,3,0.6685550212860107,-1.2799999713897705,26235117568.0,00:47
#eos,3,13.688300132751465,-0.5899999737739563,12266763264.0,00:47
#litecoin,3,119.58000183105469,-0.3499999940395355,6796263424.0,00:47
#iota,1,1.7281299829483032,-0.9599999785423279,4803389440.0,00:47
#bitcoin,38,7514.93994140625,-0.47999998927116394,128319291392.0,00:49
#ethereum,18,594.5180053710938,-0.6600000262260437,59375349760.0,00:49
#ripple,10,0.6685550212860107,-1.2799999713897705,26235117568.0,00:49
#tron,7,0.05954119935631752,-0.07999999821186066,3914721536.0,00:49
#litecoin,4,119.58000183105469,-0.3499999940395355,6796263424.0,00:49
#eos,2,13.688300132751465,-0.5899999737739563,12266763264.0,00:49
#cardano,1,0.21493099629878998,-0.699999988079071,5572531200.0,00:49
#bitcoin,35,7514.93994140625,-0.47999998927116394,128319291392.0,00:50
#ethereum,14,594.5180053710938,-0.6600000262260437,59375349760.0,00:50
#ripple,11,0.6685550212860107,-1.2799999713897705,26235117568.0,00:50
#tron,7,0.05954119935631752,-0.07999999821186066,3914721536.0,00:50
#litecoin,4,119.58000183105469,-0.3499999940395355,6796263424.0,00:50
#eos,3,13.688300132751465,-0.5899999737739563,12266763264.0,00:50
#iota,3,1.7281299829483032,-0.9599999785423279,4803389440.0,00:50
#cardano,1,0.21493099629878998,-0.699999988079071,5572531200.0,00:50
#bitcoin,31,7525.02001953125,-0.3499999940395355,128491413504.0,00:51
#ethereum,13,594.4500122070312,-0.7300000190734863,59368558592.0,00:51
#ripple,7,0.668703019618988,-1.190000057220459,26240925696.0,00:51
#tron,6,0.059510499238967896,-0.1899999976158142,3912702976.0,00:51
#eos,4,13.695699691772461,-0.5899999737739563,12273394688.0,00:51
#iota,3,1.7317099571228027,-0.6200000047683716,4813340160.0,00:51
#litecoin,2,119.62100219726562,-0.30000001192092896,6798593536.0,00:51
#bitcoin,35,7525.02001953125,-0.3499999940395355,128491413504.0,00:52
#tron,15,0.059510499238967896,-0.1899999976158142,3912702976.0,00:52
#ethereum,15,594.4500122070312,-0.7300000190734863,59368558592.0,00:52
#ripple,6,0.668703019618988,-1.190000057220459,26240925696.0,00:52
#eos,2,13.695699691772461,-0.5899999737739563,12273394688.0,00:52
#stellar,2,0.29238900542259216,-0.75,5432519168.0,00:52
#litecoin,2,119.62100219726562,-0.30000001192092896,6798593536.0,00:52
#iota,1,1.7317099571228027,-0.6200000047683716,4813340160.0,00:52
#bitcoin,31,7525.02001953125,-0.3499999940395355,128491413504.0,00:53
#tron,15,0.059510499238967896,-0.1899999976158142,3912702976.0,00:53
#ethereum,8,594.4500122070312,-0.7300000190734863,59368558592.0,00:53
#ripple,2,0.668703019618988,-1.190000057220459,26240925696.0,00:53
#stellar,2,0.29238900542259216,-0.75,5432519168.0,00:53
#iota,2,1.7317099571228027,-0.6200000047683716,4813340160.0,00:53
#bitcoin,24,7525.02001953125,-0.3499999940395355,128491413504.0,00:54
#tron,7,0.059510499238967896,-0.1899999976158142,3912702976.0,00:54
#ethereum,5,594.4500122070312,-0.7300000190734863,59368558592.0,00:54
#eos,2,13.695699691772461,-0.5899999737739563,12273394688.0,00:54
#ripple,1,0.668703019618988,-1.190000057220459,26240925696.0,00:54
#cardano,1,0.21505999565124512,-0.699999988079071,5575875584.0,00:54
#iota,1,1.7317099571228027,-0.6200000047683716,4813340160.0,00:54
#bitcoin,29,7525.02001953125,-0.3499999940395355,128491413504.0,00:55
#ethereum,9,594.4500122070312,-0.7300000190734863,59368558592.0,00:55
#tron,7,0.059510499238967896,-0.1899999976158142,3912702976.0,00:55
#ripple,4,0.668703019618988,-1.190000057220459,26240925696.0,00:55
#eos,3,13.695699691772461,-0.5899999737739563,12273394688.0,00:55
#cardano,1,0.21505999565124512,-0.699999988079071,5575875584.0,00:55
#bitcoin,31,7521.47998046875,-0.4099999964237213,128430964736.0,00:56
#tron,11,0.059653300791978836,-0.009999999776482582,3922091776.0,00:56
#ethereum,10,594.3740234375,-0.7200000286102295,59360968704.0,00:56
#ripple,6,0.6689209938049316,-1.149999976158142,26249480192.0,00:56
#eos,3,13.716400146484375,-0.4399999976158142,12291944448.0,00:56
#litecoin,1,119.60399627685547,-0.3499999940395355,6797627392.0,00:56
#bitcoin,34,7521.47998046875,-0.4099999964237213,128430964736.0,00:57
#tron,14,0.059653300791978836,-0.009999999776482582,3922091776.0,00:57
#ethereum,8,594.3740234375,-0.7200000286102295,59360968704.0,00:57
#ripple,7,0.6689209938049316,-1.149999976158142,26249480192.0,00:57
#eos,2,13.716400146484375,-0.4399999976158142,12291944448.0,00:57
#litecoin,1,119.60399627685547,-0.3499999940395355,6797627392.0,00:57
#bitcoin,26,7521.47998046875,-0.4099999964237213,128430964736.0,00:58
#tron,15,0.059653300791978836,-0.009999999776482582,3922091776.0,00:58
#ripple,8,0.6689209938049316,-1.149999976158142,26249480192.0,00:58
#ethereum,4,594.3740234375,-0.7200000286102295,59360968704.0,00:58
#cardano,1,0.21502700448036194,-0.7900000214576721,5575020032.0,00:58
#eos,1,13.716400146484375,-0.4399999976158142,12291944448.0,00:58
